NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990
lung-512x512/c6717e4a_1-14.dcm,526.21,81.32,84.55,13.11,97.51,47.90,90.9,92.96,82.33,170.78,67.54
lung-512x512/27aca76d_1-003.dcm,526.21,84.85,83.87,15.07,97.14,43.81,91.68,76.57,85.45,133.92,74.55
lung-512x512/56dc695c_1-113.dcm,526.22,90.98,82.71,16.72,96.82,35.61,93.23,68.38,87.01,133.92,74.55
lung-512x512/fbcf66ec_1-059.dcm,526.20,99.51,81.09,18.62,96.46,72.48,86.23,129.82,75.33,224.03,57.42
lung-512x512/476b61ee_1-098.dcm,526.22,101.71,80.67,20.64,96.08,35.61,93.23,72.48,86.23,146.21,72.22
lung-512x512/e12d6d7a_1-48.dcm,526.22,94.77,81.99,19.77,96.24,72.48,86.23,121.63,76.89,199.45,62.1
lung-512x512/6557ec1b_1-015.dcm,525.73,71.69,86.36,11.55,97.8,56.09,89.33,97.05,81.54,158.49,69.85
lung-512x512/ccd27ae4_1-049.dcm,526.23,68.72,86.94,10.74,97.96,43.81,91.68,80.67,84.67,142.11,72.99
lung-512x512/64e8e12d_1-059.dcm,526.22,90.50,82.8,17.78,96.62,68.38,87.01,113.44,78.44,187.17,64.43
lung-512x512/56808a77_1-73.dcm,525.73,91.93,82.51,16.41,96.88,80.67,84.66,125.73,76.09,207.65,60.5
lung-512x512/193b7645_1-001.dcm,526.22,88.61,83.16,14.23,97.3,72.48,86.23,125.73,76.11,203.55,61.32
lung-512x512/5ee0d764_1-012.dcm,526.21,94.00,82.14,15.58,97.04,43.81,91.68,88.86,83.11,174.88,66.77
lung-512x512/61b4c43b_1-15.dcm,526.21,103.17,80.39,18.92,96.4,56.09,89.34,97.05,81.56,183.07,65.21
lung-512x512/98a87db1_1-066.dcm,526.22,87.33,83.4,17.86,96.61,97.05,81.56,150.30,71.44,232.22,55.87
lung-512x512/014546d4_1-057.dcm,526.21,98.06,81.36,20.97,96.01,76.57,85.45,133.92,74.55,215.84,58.98
lung-512x512/74b191bf_1-04.dcm,526.22,89.00,83.09,16.65,96.84,47.90,90.9,84.77,83.89,146.21,72.22
lung-512x512/e5ca0210_1-003.dcm,526.22,79.08,84.97,13.76,97.39,56.09,89.34,97.05,81.56,158.49,69.88
lung-512x512/24bc6928_1-041.dcm,526.22,75.06,85.74,14.28,97.29,72.48,86.23,109.34,79.22,174.88,66.77
lung-512x512/ec9e9eb9_1-082.dcm,525.72,99.42,81.09,17.71,96.63,60.19,88.55,109.34,79.2,199.45,62.06
lung-512x512/db6ba163_1-025.dcm,525.73,70.28,86.63,12.88,97.55,56.09,89.33,101.15,80.76,174.88,66.74
lung-512x512/0ac3bf11_1-026.dcm,526.29,79.32,84.93,11.68,97.78,52.00,90.12,92.96,82.34,170.78,67.55
lung-512x512/2f5bec54_1-044.dcm,526.20,86.06,83.64,16.50,96.86,52.00,90.12,101.15,80.78,183.07,65.21
lung-512x512/6a6370ba_1-064.dcm,526.22,64.21,87.8,12.53,97.62,84.77,83.89,133.92,74.55,203.55,61.32
lung-512x512/e94ada54_1-155.dcm,526.23,86.28,83.6,14.38,97.27,52.00,90.12,97.05,81.56,166.69,68.32
lung-512x512/6a004d80_1-027.dcm,526.22,91.11,82.69,17.04,96.76,52.00,90.12,88.86,83.11,154.40,70.66
lung-512x512/a16d9891_1-097.dcm,525.73,111.12,78.86,21.82,95.85,43.81,91.67,88.86,83.1,154.40,70.63
lung-512x512/8d6bc60e_1-001.dcm,526.23,73.70,85.99,14.16,97.31,88.86,83.11,129.82,75.33,195.36,62.88
lung-512x512/97ed6907_1-012.dcm,525.72,86.67,83.51,12.99,97.53,60.19,88.55,109.34,79.2,191.26,63.62
lung-512x512/93da0b89_1-120.dcm,526.23,91.76,82.56,14.67,97.21,31.52,94.01,60.19,88.56,125.73,76.11
lung-512x512/d4f514d3_1-014.dcm,526.22,72.87,86.15,13.61,97.41,60.19,88.56,97.05,81.56,154.40,70.66
lung-512x512/2422db9d_1-84.dcm,525.73,97.51,81.45,15.27,97.1,60.19,88.55,101.15,80.76,174.88,66.74
lung-512x512/a45f8777_1-106.dcm,526.21,87.90,83.3,13.82,97.37,68.38,87.0,109.34,79.22,178.97,65.99
lung-512x512/31f1eb20_1-068.dcm,526.21,84.93,83.86,14.99,97.15,101.15,80.78,166.69,68.32,273.18,48.09
lung-512x512/ce6ba219_1-117.dcm,526.23,72.16,86.29,12.14,97.69,47.90,90.9,88.86,83.11,162.59,69.1
